YEAR,MONTH,TYPE,NEIGHBOURHOOD,LAT,LON
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
2019,1,Assault,Central Business District,NULL,NULL
