YEAR,MONTH,TYPE,NEIGHBOURHOOD,LAT,LON
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Mount Pleasant,NULL,NULL
2018,1,Assault,Musqueam,NULL,NULL
2018,1,Assault,Musqueam,NULL,NULL
2018,1,Assault,Oakridge,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Renfrew-Collingwood,NULL,NULL
2018,1,Assault,Riley Park,NULL,NULL
2018,1,Assault,Shaughnessy,NULL,NULL
2018,1,Assault,Shaughnessy,NULL,NULL
2018,1,Assault,Shaughnessy,NULL,NULL
2018,1,Assault,Shaughnessy,NULL,NULL
2018,1,Assault,Shaughnessy,NULL,NULL
2018,1,Assault,Shaughnessy,NULL,NULL
